
d1p0_disp0p0,0,1.1816517114639282,762134.0
d1p0_disp10p0,0,1.1833819150924683,761346.0
d1p0_disp20p0,0,1.1851341724395752,761424.0
d1p0_disp30p0,0,1.174261450767517,760607.0
d1p0_disp40p0,0,1.1695646047592163,758770.0
d2p0_disp0p0,0,1.5319526195526123,1722273.0
d2p0_disp10p0,0,1.5321425199508667,1719799.0
d2p0_disp20p0,0,1.5294770002365112,1716126.0
d2p0_disp30p0,0,1.5151180028915405,1713789.0
d2p0_disp40p0,0,1.5076547861099243,1709558.0
d3p0_disp0p0,0,2.1164684295654297,2730035.0
d3p0_disp10p0,0,2.116494655609131,2724603.0
d3p0_disp20p0,0,2.1025803089141846,2715595.0
d3p0_disp30p0,0,2.1006767749786377,2709991.0
d3p0_disp40p0,0,2.1015005111694336,2699678.0
d4p0_disp0p0,0,2.8847548961639404,3532257.0
d4p0_disp10p0,0,2.8782155513763428,3528529.0
d4p0_disp20p0,0,2.8716344833374023,3521982.0
d4p0_disp30p0,0,2.871842861175537,3514272.0
d4p0_disp40p0,0,2.8637688159942627,3503250.0
d5p0_disp0p0,0,3.948394536972046,4239362.0
d5p0_disp10p0,0,3.9445102214813232,4232819.0
d5p0_disp20p0,0,3.940542459487915,4223270.0
d5p0_disp30p0,0,3.9365293979644775,4212744.0
d5p0_disp40p0,0,3.925100564956665,4202590.0
